Телескоп,Location,ID,Широта (град),Долгота (град),Высота над уровнем моря (км),Широта (рад),Долгота (рад),X  (км),Y  (км),Z  (км),0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,315,330,345,360
Уссурийск ГАС-250,Ussurijsk,10266,"43,698612","132,165583","0,282","0,762684658","2,3067245812","-3100,540061594","3423,5497305757","4384,1368275525",15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Уссурийск VT-78а,Ussurijsk,10267,"43,6984666","132,1657346","0,278417","0,7626821202","2,3067272271","-3100,5548734377","3423,547879553","4384,122671952",65,60,65,50,43,25,5,1,1,1,1,1,1,1,1,1,1,5,20,47,47,55,55,60,65
Уссурийск ЧВ-500,Ussurijsk,10268,"43,698411","132,165745","0,27692","0,7626811498","2,3067274086","-3100,5576333424","3423,5496780106","4384,1171712802",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Косала ОРИ-25,Cosala,10275,"24,4014892","-106,6098488","0,5923","0,4258863289","-1,8606928766","-1661,4516788932","-5569,7317068622","2619,0892295216",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Косала ТАЛ-250К,Cosala,10276,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Монтеррей ОРИ-25,Monterey,10280,"25,7263124","-100,3147704","0,53241","0,4490088558","-1,7508230319","-1029,5762657007","-5657,1020137604","2752,0093200272",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Ужгород ЧВ-400,Uzhgorod,10292,"48,5633702","22,4535003","0,235434","0,8475907059","0,3918875088","3908,5044257136","1615,240518269","4758,7405653612",20,20,10,20,10,10,5,5,5,1,1,1,1,1,1,1,1,5,10,10,10,10,10,13,20
Бюракан ЭОП 1.2 ОРИ-25,Byurakan,10301,"40,34741","44,27465","1,572","0,7041951492","0,7727384177","3486,2266368861","3399,056051804","4108,4786636107",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Бюракан ЭОП 1.2 2 x VT78a,Byurakan,10302,"40,34735","44,27454","1,572","0,704194102","0,7727364978","3486,2362517863","3399,052370656","4108,4735846596",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Бюракан ЭОП 1.2 ОРИ-40,Byurakan,10303,"40,34737","44,27453","1,572","0,704194451","0,7727363233","3486,2358153039","3399,0507582159","4108,4752776438",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Кисловодск ЭОП 2.2 4 x VT78a,Kislovodsk,10311,"43,740325","42,653238","2,08393","0,7634126871","0,7444394397","3395,6383722218","3128,2775753395","4388,7323870039",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Кисловодск ЭОП 2.2 ОРИ-40,Kislovodsk,10312,"43,74032","42,653142","2,08351","0,7634125999","0,7444377642","3395,6436731049","3128,2719406191","4388,7316951243",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Кисловодск ЭОП 2.2 Сантел-650А,Kislovodsk,10313,"43,74035883","42,65318283","2,08876","0,7634132776","0,7444384768","3395,6420389692","3128,2749086833","4388,7384429415",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Благовещенск ЭОП-2.1 4xVT-78a,Blagoveshchensk,10314,"50,126617","127,722545","0,15988","0,8748745095","2,2291789393","-2506,8043517582","3240,7895211253","4871,9526038193",7,7,6,6,5,4,4,4,3,6,4,6,7,7,4,80,50,14,12,11,11,9,14,11,7
Благовещенск ЭОП-2.1 ОРИ-40,Blagoveshchensk,10315,"50,1265946","127,7224628","0,15943","0,8748741186","2,2291775046","-2506,8006957965","3240,7944018998","4871,950661082",3,3,3,3,4,4,9,2,4,2,4,3,1,1,2,2,3,16,7,8,9,6,3,9,3
Благовещенск ЭОП-2.1 САНТЕЛ-650,Blagoveshchensk,10316,"50,1265854","127,7223353","0,161172","0,874873958","2,2291752793","-2506,7946478837","3240,8014848521","4871,9513419355",2,3,2,3,3,2,6,3,1,3,1,1,1,1,1,2,1,2,6,7,5,2,4,3,2
Абрау-Дюрсо РКС ОРИ-25,Abrau-Dyurso,10320,"44,67437","37,58897","0,04711","0,7797148478","0,6560512889","3600,015912349","2771,2815866806","4461,7210223338",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
